name,category,us,uk,jpn,aus,us_ngo,uk_ngo,aus_ngo,jpn_ngo,wwf,eng_news,jpn_news,us_cute,uk_cute,aus_cute,jpn_cute
aardvark,1,0,0,0,0,0,0,0,0,0,0.184551744,0,0,0,0,0
addax,5,0,0,0,0,0,0,0,0,3,0.023255814,0,0,0,0,0
agouti,2.142857143,0,0,0,0,0,0,0,0,0,0.098331083,0,0,0,0,0
anoa,4,0,0,0,0,0,0,0,0,0,0.03250478,0.014590348,0,0,0,0
anteater,1.5,0,0,0,0,0,0,0,0,8,1.010772103,0.054149466,0,0,0,0
antelope,1.4,0,0,0,0,2,2,0,0,16,3.761944764,0.007434944,0,0,0,0
aoudad,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argali,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
armadillo,1.625,1,0,0,1,0,0,0,0,4,0.559008931,0.04455996,0,0,0,0
aye-aye,4,0,0,0,0,0,0,0,0,1,0.062595685,0.103114172,0,0,0,0
babirusa,3.333333333,0,0,0,0,0,0,0,0,0,0.013625592,0,0,0,0,0
baboon,1.333333333,0,0,0,0,0,0,0,0,0,0.993892192,0.011918425,0,0,0,0
badger,1.384615385,1,1,1,0,0,16,0,0,1,2.810427446,0.155856603,1,0,0,0
bandicoot,2.5,0,0,0,1,0,0,0,0,0,1.760951275,0,0,0,0,0
banteng,4,0,0,0,0,0,0,0,0,4,0.11329403,0,0,0,0,0
bat,2.01344086,1,1,1,1,2,12,6,2,4,9.286139519,0.909864409,0,0,0,0
bear,2.333333333,1,0,1,0,11,3,4,6,57,9.486596988,7.447280758,5,7,6,7
beaver,1,0,0,0,0,0,0,0,0,1,2.854032571,0.087531219,0,0,0,0
beluga,2,1,0,0,0,0,0,0,0,12,0.930606632,0.003193188,0,0,0,0
bettong,3.25,0,0,0,1,0,0,2,0,0,0.177599293,0,0,0,0,0
bilby,3,0,0,0,1,0,0,2,0,0,0.719256616,0,0,0,0,0
binturong,3,0,0,0,0,0,0,0,0,0,0.146778649,0,0,0,0,0
